Season,Name,ERA,K9,BB9,HR9
2016,Jeff Samardzija,3.81,7.39,2.39,1.06
2016,CC Sabathia,3.91,7.61,3.26,1.1
2010,Johnny Cueto,3.64,6.69,2.71,0.92
2013,Andrew Cashner,3.09,6.58,2.42,0.62
2010,Phil Hughes,4.19,7.45,2.96,1.28
2016,Carlos Rodon,4.04,9.16,2.95,1.25
2015,Yordano Ventura,4.08,8.6,3.2,0.77
2010,Roberto Hernandez,3.77,5.31,3.08,0.73
2010,Ryan Dempster,3.85,8.69,3.59,1.04
2013,Kris Medlen,3.11,7.17,2.15,0.82
2015,Wade Miley,4.46,6.83,2.97,0.79
2013,Jorge de la Rosa,3.49,6.01,3.33,0.59
2015,Kyle Gibson,3.84,6.7,3.01,0.83
2012,Yovani Gallardo,3.66,9,3.57,1.15
2017,Marco Estrada,4.98,8.52,3.44,1.5
2012,Bronson Arroyo,3.74,5.75,1.56,1.16
2012,Trevor Cahill,3.78,7.02,3.33,0.72
2014,Alex Wood,2.78,8.91,2.36,0.84
2016,Ricky Nolasco,4.42,6.56,2,1.18
2010,Randy Wells,4.26,6.67,2.92,0.88
2014,Zack Wheeler,3.54,9.08,3.84,0.68
2013,CC Sabathia,4.78,7.46,2.77,1.19
2010,Scott Baker,4.49,7.82,2.27,1.22
2010,Mike Pelfrey,3.66,4.99,3,0.53
2015,Alex Wood,3.84,6.6,2.8,0.71
2011,Ervin Santana,3.38,7.01,2.83,1.02
2012,Ian Kennedy,4.02,8.08,2.38,1.21
2010,Jeremy Guthrie,3.83,5.12,2.15,1.07
2016,Mike Leake,4.69,6.37,1.53,1.02
2015,Edinson Volquez,3.55,6.96,3.23,0.72
2016,Chad Bettis,4.79,6.68,2.85,1.06
2014,Aaron Harang,3.57,7.09,3.13,0.66
2015,Jeff Samardzija,4.96,6.86,2.06,1.22
2015,Bartolo Colon,4.16,6.29,1.11,1.16
2012,Ryan Vogelsong,3.37,7.5,2.94,0.81
2011,Ryan Dempster,4.8,8.5,3.65,1.02
2017,Kevin Gausman,4.68,8.63,3.42,1.4
2010,Brett Cecil,4.22,6.1,2.81,0.94
2011,R.A. Dickey,3.28,5.78,2.33,0.78
2012,Jon Lester,4.82,7.28,2.98,1.1
2015,Colby Lewis,4.66,6.24,1.85,1.14
2012,Wandy Rodriguez,3.76,6.08,2.45,0.92
2013,Julio Teheran,3.2,8.24,2.18,1.07
2010,Ted Lilly,3.62,7.71,2.04,1.49
2013,Ervin Santana,3.24,6.87,2.18,1.11
2014,John Lackey,3.82,7.45,2.14,1.09
2015,Yovani Gallardo,3.42,5.91,3.32,0.73
2011,Kyle Lohse,3.39,5.3,2.01,0.76
2014,Wei-Yin Chen,3.54,6.59,1.7,1.11
2012,Joe Blanton,4.71,7.82,1.6,1.37
2013,Shelby Miller,3.06,8.77,2.96,1.04
2013,John Lackey,3.52,7.65,1.9,1.24
2015,Mike Fiers,3.69,8.98,3.19,1.2
2017,Jake Arrieta,3.53,8.71,2.94,1.23
2014,Yordano Ventura,3.2,7.82,3.39,0.69
2016,Hisashi Iwakuma,4.12,6.65,2.08,1.27
2016,Chris Tillman,3.77,7.33,3.45,0.99
2017,German Marquez,4.39,8.17,2.72,1.39
2015,Jason Hammel,3.74,9.07,2.11,1.21
2017,Tanner Roark,4.67,8.24,3.18,1.14
2017,Alex Cobb,3.66,6.42,2.21,1.1
2010,Clayton Richard,3.75,6.83,3.48,0.71
2012,Phil Hughes,4.19,7.76,2.16,1.65
2015,Erasmo Ramirez,3.75,6.94,2.2,0.88
2011,Jason Vargas,4.25,5.87,2.64,0.99
2014,Jon Niese,3.4,6.62,2.16,0.82
2013,Kyle Lohse,3.35,5.66,1.63,1.18
2014,Kyle Lohse,3.54,6.4,2.04,1
2017,Jhoulys Chacin,3.89,7.64,3.59,0.95
2014,Chris Tillman,3.34,6.51,2.86,0.91
2015,Scott Kazmir,3.1,7.62,2.9,0.98
2014,Kyle Gibson,4.47,5.37,2.86,0.6
2014,Mike Leake,3.7,6.89,2.1,0.97
2015,Michael Wacha,3.37,7.59,2.88,0.94
2013,Mark Buehrle,4.15,6.14,2.25,1.06
2012,Justin Masterson,4.93,6.94,3.84,0.79
2014,Drew Hutchison,4.48,8.97,2.92,1.12
2017,Clayton Richard,4.79,6.89,2.69,1.09
2010,Justin Masterson,4.7,7,3.65,0.7
2010,Jonathan Sanchez,3.07,9.54,4.47,0.98
2016,Matt Moore,4.08,8.08,3.27,1.13
2012,Wei-Yin Chen,4.02,7.19,2.66,1.35
2011,Carl Pavano,4.3,4.14,1.62,0.93
2011,Ivan Nova,3.7,5.33,3.1,0.71
2011,Chad Billingsley,4.21,7.28,4.02,0.67
2011,Ricky Romero,2.92,7.12,3.2,1.04
2011,Max Scherzer,4.43,8.03,2.58,1.34
2013,Felix Doubront,4.32,7.71,3.94,0.72
2011,Rick Porcello,4.75,5.14,2.27,0.89
2010,Derek Lowe,4,6.32,2.83,0.84
2015,Andrew Cashner,4.34,8.04,3.22,0.93
2011,Randy Wolf,3.69,5.68,2.8,0.97
2012,C.J. Wilson,3.83,7.7,4.05,0.85
2012,Scott Diamond,3.54,4.68,1.61,0.88
2014,Jason Vargas,3.71,6.16,1.97,0.91
2012,Ricky Nolasco,4.48,5.89,2.21,0.85
2013,Yovani Gallardo,4.18,7.17,3.29,0.9
2012,Jake Westbrook,3.97,5.46,2.68,0.62
2012,Joe Saunders,4.07,5.77,2.01,1.08
2012,Edwin Jackson,4.03,7.97,2.75,1.09
2017,Jason Hammel,5.29,7.24,2.4,1.3
2010,Tim Hudson,2.83,5.47,2.91,0.79
2010,Ervin Santana,3.92,6.83,2.95,1.09
2011,Ryan Vogelsong,2.71,6.96,3.06,0.75
2011,Derek Lowe,5.05,6.59,3.37,0.67
2014,Henderson Alvarez,2.65,5.34,1.59,0.67
2015,Mike Pelfrey,4.26,4.7,2.46,0.6
2012,Tim Hudson,3.62,5.13,2.41,0.6
2016,Jake Odorizzi,3.69,7.96,2.59,1.39
2011,Jhoulys Chacin,3.62,6.96,4.04,0.93
2014,Jake Odorizzi,4.13,9.32,3.16,1.07
2015,Jimmy Nelson,4.11,7.51,3.3,0.91
2014,Tim Hudson,3.57,5.7,1.62,0.71
2013,Scott Feldman,3.86,6.54,2.77,0.94
2015,Mark Buehrle,3.81,4.12,1.49,1
2017,Rick Porcello,4.65,8.01,2.12,1.68
2011,Bud Norris,3.77,8.52,3.39,1.16
2012,Aaron Harang,3.61,6.56,4.26,0.7
2013,Mike Leake,3.37,5.71,2.25,0.98
2016,Drew Smyly,4.88,8.57,2.52,1.64
2014,Yovani Gallardo,3.51,6.83,2.53,0.98
2017,Dan Straily,4.26,8.42,2.97,1.54
2012,Josh Beckett,4.65,6.97,2.75,1.11
2015,R.A. Dickey,3.91,5.29,2.56,1.05
2011,Ted Lilly,3.97,7.38,2.38,1.31
2013,Kyle Kendrick,4.7,5.44,2.32,0.89
2011,Colby Lewis,4.4,7.59,2.52,1.57
2010,James Shields,5.18,8.28,2.26,1.5
2012,Paul Maholm,3.67,6.67,2.52,0.95
2015,Taijuan Walker,4.56,8.33,2.12,1.33
2013,Edwin Jackson,4.98,6.93,3.03,0.82
2011,Jeremy Guthrie,4.33,5.62,2.86,1.12
2014,Jarred Cosart,3.69,5.74,3.64,0.45
2011,Chris Capuano,4.55,8.13,2.56,1.31
2010,Matt Garza,3.91,6.6,2.77,1.23
2017,Ivan Nova,4.14,6.3,1.73,1.4
2010,Ian Kennedy,3.8,7.79,3.25,1.21
2016,Martin Perez,4.39,4.67,3.44,0.82
2010,Trevor Cahill,2.97,5.4,2.88,0.87
2012,Gavin Floyd,4.29,7.71,3.37,1.18
2014,Josh Collmenter,3.46,5.77,1.96,0.9
2013,Chris Tillman,3.71,7.81,2.97,1.44
2013,Dillon Gee,3.62,6.42,2.13,1.09
2011,Jeff Francis,4.82,4.48,1.92,0.93
